item;title;available;price
6720436;ENVELOPE NECK TOP;TRUE;16.00
6720436;ENVELOPE NECK TOP;TRUE;16.00
6751761;STRIPE TWIST DRESS;TRUE;45.00
6751761;STRIPE TWIST DRESS;TRUE;45.00
6705701;LONG MILLIE KNIT DRESS❤;TRUE;48.00
6705701;LONG MILLIE KNIT DRESS❤;TRUE;48.00
6717339;ANIMAL WRAP DRESS;TRUE;46.00
6717339;ANIMAL WRAP DRESS;TRUE;46.00
6747861;HEART WRAP MIDI DRESS;TRUE;52.00
6747861;HEART WRAP MIDI DRESS;TRUE;52.00
6749100;STRIPE TUBE DRESS;TRUE;36.00
6749100;STRIPE TUBE DRESS;TRUE;36.00
6724520;ASYMMETRIC KNOT DRESS;TRUE;30.00
6724520;ASYMMETRIC KNOT DRESS;TRUE;30.00
6734892;DENIM DUNGAREE DRESS;TRUE;46.00
6734892;DENIM DUNGAREE DRESS;TRUE;46.00
6705737;LONG MILLIE KNIT DRESS;TRUE;48.00
6705737;LONG MILLIE KNIT DRESS;TRUE;48.00
6709919;CORD WESTERN SHIRT DRESS;TRUE;46.00
6709919;CORD WESTERN SHIRT DRESS;TRUE;46.00
6720401;ENVELOPE NECK TOP;TRUE;16.00
lemon5;ENVELOPE NECK TOP;TRUE;16.00
6720415;ENVELOPE NECK TOP;TRUE;16.00
6720415;ENVELOPE NECK TOP;TRUE;16.00
6720419;ENVELOPE NECK TOP;TRUE;16.00
6720419;ENVELOPE NECK TOP;TRUE;16.00
6720402;ENVELOPE NECK TOP;TRUE;16.00
6720402;ENVELOPE NECK TOP;TRUE;16.00
6717239;ANYA ANIMAL BOATNECK;TRUE;24.00
6717239;ANYA ANIMAL BOATNECK;TRUE;24.00
6762901;PLAIN BODY⛷;TRUE;36.00
6762901;PLAIN BODY;TRUE;36.00
6756005;MONO CHECK PENCIL SKIRT;TRUE;40.00
6756005;MONO CHECK PENCIL SKIRT;TRUE;40.00
6749361;EASY STRIPE BOATNECK;TRUE;20.00
6749361;EASY STRIPE BOATNECK;TRUE;20.00
6775903;TWIST FRONT DRAPE TOP;TRUE;36.00
6775903;TWIST FRONT DRAPE TOP;TRUE;36.00
6754068;SCARF SHELL TOP;TRUE;34.00
6754068;SCARF SHELL TOP;TRUE;34.00
6752701;FAUX LEATHER SKIRT;TRUE;38.00
6752701;FAUX LEATHER SKIRT;TRUE;38.00
